bot_code,bot_type,sov_code,sov_name,wgsrpd_code,wgsrpd_name,wgsrpd_area,sov_intersection_area,bot_area_total,sov_area_total,proportion_total_sov,proportion_total_bot,bot_name
TUN,entire_sov,TUN,Tunisia,TUN,Tunisia,155382.202874773,154488.150595221,154488.150595221,154488.150595221,1,1,Tunisia
TUR,entire_sov,TUR,Turkey,TUE,Turkey-in-Europe,23840.2053779283,23357.6965851665,776786.2660114075,776786.2660114075,0.030069657005011314,0.030069657005011314,Turkey
TUR,entire_sov,TUR,Turkey,TUR,Turkey,756175.772055685,753428.569426241,776786.2660114075,776786.2660114075,0.9699303429949887,0.9699303429949887,Turkey
TUV,entire_sov,TUV,Tuvalu,TUV,Tuvalu,52.8062533302,7.1360186462,7.1360186462,7.1360186462,1,1,Tuvalu
TWN,entire_sov,TWN,Taiwan,TAI,Taiwan,36163.4562669865,35761.7625106874,35761.7625106874,35761.7625106874,1,1,Taiwan
TZA,entire_sov,TZA,United Republic of Tanzania,TAN,Tanzania,941388.819301319,938580.765189661,938580.765189661,938580.765189661,1,1,Tanzania
UGA,entire_sov,UGA,Uganda,UGA,Uganda,242066.486855459,240307.1287585,240307.1287585,240307.1287585,1,1,Uganda
UKR,multi_sov,UKR,Ukraine,UKR,Ukraine,605804.65654633,569363.131309756,602430.8707793156,569363.131309756,1,0.9451094871237548,Ukraine and Moldova
UKR,multi_sov,MDA,Moldova,UKR,Ukraine,605804.65654633,33067.7394695596,602430.8707793156,33067.7394695596,1,0.05489051287624515,Ukraine and Moldova
URY,entire_sov,URY,Uruguay,URU,Uruguay,177842.73634548,176858.304642332,176858.304642332,176858.304642332,1,1,Uruguay
USA,incomplete_sov,USA,United States of America,NWY,New York,137027.973543945,136358.845059632,9448913.931608755,9449399.34709206,0.014430424628163779,0.01443116595691287,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,DEL,Delaware,5069.3994852751,5011.6111595276,9448913.931608755,9449399.34709206,5.303629337106875e-4,5.303901798451806e-4,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
USA,incomplete_sov,USA,United States of America,VRG,Virginia,103882.407808106,102885.146586548,9448913.931608755,9449399.34709206,0.010888009153535211,0.010888568499113311,"United States of America and Puerto Rico, Wake Island, Guam and Northern Mariana Islands, Howland and Baker Islands, Aleutian Islands"
